course_url,image_url,desc,duration,by,title,id
https://www.udemy.com/course/complete-python-bootcamp/,https://img-b.udemycdn.com/course/240x135/567828_67d0.jpg,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,22 total hours,Jose Portilla,The Complete Python Bootcamp From Zero to Hero in Python,c00001
https://www.udemy.com/course/the-complete-web-development-bootcamp/,https://img-b.udemycdn.com/course/240x135/1565838_e54e_18.jpg,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, PostgreSQL, Web3 and DApps",62 total hours,Dr. Angela Yu,The Complete 2024 Web Development Bootcamp,c00002
https://www.udemy.com/course/100-days-of-code/,https://img-b.udemycdn.com/course/240x135/2776760_f176_10.jpg,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",58 total hours,Dr. Angela Yu,100 Days of Code: The Complete Python Pro Bootcamp,c00003
https://www.udemy.com/course/the-web-developer-bootcamp/,https://img-b.udemycdn.com/course/240x135/625204_436a_3.jpg,"10 Hours of React just added. Become a Developer With ONE course - HTML, CSS, JavaScript, React, Node, MongoDB and More!",74 total hours,Colt Steele,The Web Developer Bootcamp 2024,c00004
https://www.udemy.com/course/react-the-complete-guide-incl-redux/,https://img-b.udemycdn.com/course/240x135/1362070_b9a1_2.jpg,"Dive in and learn React.js from scratch! Learn React, Hooks, Redux, React Router, Next.js, Best Practices and way more!",69 total hours,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",React - The Complete Guide 2024 (incl. React Router & Redux),c00005
https://www.udemy.com/course/the-complete-javascript-course/,https://img-b.udemycdn.com/course/240x135/851712_fc61_6.jpg,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",68.5 total hours,Jonas Schmedtmann,The Complete JavaScript Course 2024: From Zero to Expert!,c00006
https://www.udemy.com/course/the-complete-guide-to-angular-2/,https://img-b.udemycdn.com/course/240x135/756150_c033_2.jpg,"Master Angular (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",36.5 total hours,Maximilian Schwarzmüller,Angular - The Complete Guide (2024 Edition),c00007
https://www.udemy.com/course/java-the-complete-java-developer-course/,https://img-b.udemycdn.com/course/240x135/533682_c10c_4.jpg,Acquire Key Java Skills: From Basics to Advanced Programming &amp; Certification - Start Your Dev Career,136.5 total hours,"Tim Buchalka, Tim Buchalka's Learn Programming Academy",Java 17 Masterclass: Start Coding in 2024,c00008
https://www.udemy.com/course/machinelearning/,https://img-b.udemycdn.com/course/240x135/950390_270f_3.jpg,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,42.5 total hours,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency Team","Machine Learning A-Z: AI, Python & R + ChatGPT Prize [2024]",c00009
https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,https://img-b.udemycdn.com/course/240x135/903744_8eb2.jpg,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",25 total hours,Jose Portilla,Python for Data Science and Machine Learning Bootcamp,c00010
https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,https://img-b.udemycdn.com/course/240x135/1754098_e0df_3.jpg,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine &amp; Deep Learning",32 total hours,365 Careers,The Data Science Course: Complete Data Science Bootcamp 2024,c00011
https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/,https://img-b.udemycdn.com/course/240x135/354176_fe73_5.jpg,"""TOP RATED  #1 Master SELENIUM java 4 (Latest) course"" -5 Million students learning worldWide with great collaboration",55 total hours,Rahul Shetty,Selenium WebDriver with Java -Basics to Advanced+Frameworks,c00012
https://www.udemy.com/course/automate/,https://img-b.udemycdn.com/course/240x135/543600_64d1_4.jpg,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",9.5 total hours,Al Sweigart,Automate the Boring Stuff with Python Programming,c00013
https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,https://img-b.udemycdn.com/course/240x135/437398_46c3_10.jpg,"Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid",37.5 total hours,Jonas Schmedtmann,Build Responsive Real-World Websites with HTML and CSS,c00014
https://www.udemy.com/course/unitycourse/,https://img-b.udemycdn.com/course/240x135/258316_55e9_12.jpg,"Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap",18.5 total hours,"GameDev.tv Team, Rick Davidson, Gary Pettie",Complete C# Unity Game Developer 2D,c00015
https://www.udemy.com/course/python-the-complete-python-developer-course/,https://img-b.udemycdn.com/course/240x135/629302_8a2d_2.jpg,This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,64 total hours,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",Learn Python Programming Masterclass,c00016
https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,https://img-b.udemycdn.com/course/240x135/1187016_51b3.jpg,"JUST COMPLETELY REDONE!  Master SQL, Work With Complex Databases, Build Reports, and More!",37.5 total hours,Colt Steele,The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,c00017
https://www.udemy.com/course/ios-13-app-development-bootcamp/,https://img-b.udemycdn.com/course/240x135/1778502_f4b9_12.jpg,From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI!,60.5 total hours,Dr. Angela Yu,iOS & Swift - The Complete iOS App Development Bootcamp,c00018
https://www.udemy.com/course/react-redux/,https://img-b.udemycdn.com/course/240x135/705264_caa9_13.jpg,"Master React and Redux Toolkit.  Includes RTK Query, Routing, Immer, tons of custom hooks, and more!",37.5 total hours,Stephen Grider,Modern React with Redux [2024 Update],c00019
https://www.udemy.com/course/spring-hibernate-tutorial/,https://img-b.udemycdn.com/course/240x135/647428_be28_10.jpg,"Spring Boot 3: Learn Spring 6, Spring Core, Spring REST, Spring MVC, Spring Security, Thymeleaf, JPA, Hibernate, MySQL",33.5 total hours,Chad Darby,"[NEW] Spring Boot 3, Spring 6 & Hibernate for Beginners",c00020
https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/,https://img-b.udemycdn.com/course/240x135/1708340_7108_5.jpg,A Complete Guide to the Flutter SDK &amp; Flutter Framework for building native iOS and Android apps,30 total hours,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",Flutter & Dart - The Complete Guide [2024 Edition],c00021
https://www.udemy.com/course/the-complete-web-developer-course-2/,https://img-b.udemycdn.com/course/240x135/764164_de03_5.jpg,"Learn Web Development in 2023! Build apps, website, projects using HTML, CSS, Javascript, PHP, Python, MySQL & more!",31 total hours,"Rob Percival, Codestars • over 2 million students worldwide!",The Complete Web Developer Course 3.0,c00022
https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,https://img-b.udemycdn.com/course/240x135/922484_52a1_8.jpg,"Learn Node.js by building real-world applications with Node JS, Express, MongoDB, Jest, and more!",35 total hours,"Andrew Mead, Rob Percival",The Complete Node.js Developer Course (3rd Edition),c00023
https://www.udemy.com/course/unrealcourse/,https://img-b.udemycdn.com/course/240x135/657932_c7e0_6.jpg,Created in collaboration with Epic Games. Learn C++ from basics while making your first 5 video games in Unreal,29.5 total hours,"Ben Tristem, GameDev.tv Team",Unreal Engine 5 C++ Developer: Learn C++ & Make Video Games,c00024
https://www.udemy.com/course/csharp-tutorial-for-beginners/,https://img-b.udemycdn.com/course/240x135/382002_5d4a.jpg,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",5.5 total hours,Mosh Hamedani,C# Basics for Beginners: Learn C# Fundamentals by Coding,c00025
https://www.udemy.com/course/beginning-c-plus-plus-programming/,https://img-b.udemycdn.com/course/240x135/1576854_9aeb_2.jpg,Obtain Modern C++ Object-Oriented Programming (OOP) and STL skills. C++14 and C++17 covered.  C++20 info see below.,46 total hours,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos",Beginning C++ Programming - From Beginner to Beyond,c00026
https://www.udemy.com/course/the-python-mega-course/,https://img-b.udemycdn.com/course/240x135/692188_9da7_31.jpg,Learn Python completely in 60 days or less by building 20 real-world applications from web development to data science.,52 total hours,Ardit Sulce,"Python Mega Course: Learn Python in 60 Days, Build 20 Apps",c00027
https://www.udemy.com/course/vuejs-2-the-complete-guide/,https://img-b.udemycdn.com/course/240x135/995016_ebf4_3.jpg,Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,32 total hours,Maximilian Schwarzmüller,Vue - The Complete Guide (incl. Router & Composition API),c00028
https://www.udemy.com/course/docker-mastery/,https://img-b.udemycdn.com/course/240x135/1035000_c1aa_6.jpg,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, GitHub Actions CI using DevOps",21.5 total hours,"Bret Fisher, Docker Captain Program",Docker Mastery: with Kubernetes +Swarm from a Docker Captain,c00029
https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,https://img-b.udemycdn.com/course/240x135/1793828_7999_2.jpg,"Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows",22 total hours,Stephen Grider,Docker and Kubernetes: The Complete Guide,c00030
https://www.udemy.com/course/complete-python-developer-zero-to-mastery/,https://img-b.udemycdn.com/course/240x135/2473048_8255_5.jpg,"How to become a Python 3 Developer and get hired! Build 12+ projects, learn Web Development, Machine Learning + more!",31 total hours,Andrei Neagoie,The Complete Python Developer,c00031
https://www.udemy.com/course/r-programming/,https://img-b.udemycdn.com/course/240x135/765242_2578_6.jpg,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",10.5 total hours,"Kirill Eremenko, SuperDataScience Team, Ligency Team",R Programming A-Z™: R For Data Science With Real Exercises!,c00032
