Text,company,startdate,salary,exp,about,skills_required,Page_URL
Business Development Associate,"
                        JKJ JEWELLERS                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,25,000 - 3,50,000                                ",0-2 years,"
    Key responsibilities: 

1. Handling customers
2. Working on database management
3. Handling precious jewellery with care

Requirements:

1. Good communication skills
2. Punctual on the job
3. Dedicated towards the organization's goal","
                    Effective Communication
            ",https://internshala.com/job/detail/fresher-business-development-associate-job-in-jaipur-at-jkj-jewellers1706880008
Junior Social Media Marketing Manager,"
                        Adoremyspace                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 3,00,000                                ",0-2 years,"
    We are seeking a dynamic and enthusiastic Junior Social Media Marketing Manager to join our fast-growing team at Adoremyspace! If you have a passion for social media marketing, digital marketing, and creative writing, this is the perfect opportunity for you to showcase your skills and take your career to the next level.

Key responsibilities:

1. Develop and implement creative social media marketing strategies to increase brand awareness and drive engagement across various platforms.
2. Create captivating and compelling content that resonates with our target audience, including blog posts, social media posts, and email newsletters.
3. Manage and grow our social media accounts, including Facebook and Instagram, by consistently delivering high-quality content and monitoring performance metrics.
4. Stay up-to-date with the latest social media trends, tools, and platforms to optimize our digital marketing efforts and improve overall campaign effectiveness.
5. Collaborate with cross-functional teams to ensure brand consistency and alignment in all marketing activities.
6. Conduct market research and competitor analysis to identify new opportunities and develop innovative strategies to stay ahead in the industry.
7. Measure and analyze the performance of social media campaigns using analytics tools to generate actionable insights and optimize future marketing initiatives.

Join our vibrant and creative team and make a significant impact on our brand's online presence! If you have a passion for social media marketing and a flair for creativity, we can't wait to hear from you. Apply now and let's create something amazing together at Adoremyspace!","
                    Content Marketing
                    Digital Marketing
                    Facebook Marketing
                    Instagram Marketing
                    Social Media Marketing
            ",https://internshala.com/job/detail/fresher-junior-social-media-marketing-manager-job-in-delhi-at-adoremyspace1706519911
Inside Sales Consultant,"
                        Chitranjali Yoga                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,40,000                                ",0-2 years,"
    Key responsibilities: 

1. Working as an inside sales team member
2. Reaching out to potential leads who have expressed their interest in our programs
3. Understanding the lead's requirements and explaining the program details accordingly
4. Assisting the lead in understanding the program benefits
5. Communicating and following up with the leads through various channels like phone calls, WhatsApp, and emails diligently
6. Achieving the weekly targets with a performance-driven attitude
7. Keeping track of factors like conversion factor, average revenue per user/sale, etc.
8. Making approximately 40-60 new calls daily, followed by follow-up calls, WhatsApp messages, etc.

Required:

1. Female candidates (Preferred)
2. Candidates with English proficiency (Spoken & written)
3. Good communication skills
4. Candidates with business development acumen
5. Good interpersonal skills
6. Candidates with a learning attitude and application
7. Result-oriented mindset

Note:

- Annual CTC after probation:     3,40,000 /year
- Annual CTC breakup:
1. Fixed pay:     1,40,000 /year
2. Variable pay:     2,00,000 /year","
                    English Proficiency (Spoken)
                    Marketing
                    Problem Solving
                    Sales
            ",https://internshala.com/job/detail/fresher-remote-inside-sales-consultant-job-at-chitranjali-yoga1707482583
Associate Sales Consultant (Outbound Tele Sales Domestic Process),"
                        Paisabazaar                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,23,000 - 2,80,000                                ",0-5 years,"
    Key responsibilities: 

1) Assisting customers in sale of a range of financial products on phone
2) Role entails working only in Day shift
3) Fully responsible for meeting and exceeding targets as assigned periodically
4) Reaching productivity that meets job standards, while working with speed and
accuracy
5) Flexible, able to shift priorities to accommodate changing demands.
6) Ensure no losses or errors occurred while assisting customers
7) Work towards ensuring zero cases of mis-selling / fraud in the processes
8) Responding in a timely and effective manner to all internal communication.
9) Adheres to and supports company policies and practices.

In addition to the fixed CTC mentioned, the candidates can earn unlimited performance based incentives.","
                    English Proficiency (Written)
                    Hindi Proficiency (Spoken)
                    MS-Office
                    Negotiation & Problem-solving
                    Sales pitch
            ",https://internshala.com/job/detail/associate-sales-consultant-outbound-tele-sales-domestic-process-job-in-gurgaon-at-paisabazaar1707818184
Junior Civil Engineer,"
                        Vision Earthcare Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 2,01,000                                ",1 year,"
    Key responsibilities: 

1. Tender search on various portals - Making Pre-Qualification documents, both standards as well project specific questionnaires
2. Prepare technical & commercial proposals
3. Project Costing, Estimation, and Business Development
4. Tender submission & Bid evaluation/ Loss tender analysis
5. Floating Enquiries to Suppliers/Manufacturers
6. Comparison Studies based on suppliers Quotations
7. Negotiations with suppliers on both technical and commercial aspects of the product. Based on Clients' budget constraints for any specific project, carrying out Value engineering studies
8. Delegating Draftsmen for quantity take-offs, cross cross-checking quantities
9. Pricing for electrical/mechanical / plumbing systems
10. Assisting in compiling tenders
11. Making Pre-Qualification documents, both standards as well project specific questionnaires","
                    AutoCAD
                    Mathematics
                    Physics
            ",https://internshala.com/job/detail/junior-civil-engineer-job-in-mumbai-at-vision-earthcare-private-limited1707893415
Corporate Sales Executive,"
                        Monami Hospitality Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 6,00,000                                ",0-5 years,"
    Key responsibilities:

1. Fixing up campus visits/VT for customers and briefing them about the benefits of joining My roomie
2. Generating referrals from existing customers and promoting referral schemes
3. Complete satisfaction of the customer from a campus visit to final onboarding
4. Meticulous follow-up with the customers and pursuing them for booking with us
5. Identifying promising prospects through cold-calling, networking, and customer referrals

Requirments:

1. Should have prior experience in business development/sales
2. Excellent verbal and written communication skills
3. Knowledge of the sales process from initiation to close
4. Knowledge of lead generation, nurturing, and converting a potential lead to appointments
5. Responsible for the achievement of revenue targets and management business objectives
6. Directs the management of sales and sales support activities for staff members to implement growth plans and sales activities
7. Develop and implement marketing, sales, and business development plans to exceed target levels and generate new business through strategic-based selling and managing relationships with key customers","
                    Advanced Excel
                    Effective Communication
                    MS-Office
                    Sales pitch
            ",https://internshala.com/job/detail/fresher-corporate-sales-executive-job-in-bangalore-at-monami-hospitality-private-limited1708078437
Business Development Executive,"
                        GMGR INDIA Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,50,000 - 4,50,000                                ",0-2 years,"
    Key responsibilities:

Meeting sales target ar profile is target-oriented with benefits and growth
Traveling and meeting all prospective clients in different segments like corporate, hospitality, education, healthcare, malls, multiplexes, residential, infrastructural projects
Meeting architects, interior designers, PMC and clients","
                    Effective Communication
                    English Proficiency (Written)
                    Lead Generation
                    Marketing
                    MS-Excel
            ",https://internshala.com/job/detail/fresher-business-development-executive-job-in-mumbai-at-gmgr-india-private-limited1708410624
Business Development Executive,"
                        OnePaper Research Analyst Private Limited                    ","
                                Starts Immediately
                            ","
                                    ₹ 2,00,000 - 3,00,000                                ",0-2 years,"
    Are you a dynamic and proactive individual with a knack for business development? OnePaper Research Analyst Private Limited is seeking a talented business development executive with proficiency in both Hindi and English to join our team. If you have excellent negotiation and problem-solving skills, this is the perfect opportunity for you to showcase your talents and drive the growth of our company.

Key responsibilities:

1. Identify and pursue new business opportunities to expand our client base
2. Build and maintain strong relationships with clients to ensure customer satisfaction
3. Develop and implement strategic sales plans to achieve revenue targets
4. Conduct market research to stay updated on industry trends and competitor activities
5. Participate in networking events and conferences to promote our services and generate leads

Compensation structure: 20K fixed + performance linked incentives

If you are a motivated self-starter with a passion for driving business growth, we want to hear from you! Join us in revolutionizing the research industry and making a significant impact on our company's success. Apply now and take the next step in your career with OnePaper Research Analyst Private Limited.","
                    English Proficiency (Spoken)
                    Hindi Proficiency (Spoken)
            ",https://internshala.com/job/detail/fresher-business-development-executive-job-in-bangalore-at-onepaper-research-analyst-private-limited1708405440
Business Operations Analyst,"
                        Media.net                    ","
                                Starts Immediately
                            ","
                                    ₹ 3,00,000 - 3,00,001                                ",0 years,"
    Key responsibilities:

1. Creating client deliverables, documentation, and quality control to ensure that all deliveries are execution ready
2. Liaising with business teams to provide operational support and communicate the status of campaigns, technical issues, launch delays, delivery issues, etc.
3. Conducting competitive industry research periodically and identifying opportunities to improve product efficiency and drive business growth
4. Facilitating the upload and maintenance of our suite of apps and coordinating with cross-functional teams to ensure the process is smooth, efficient, and error-free
5. Running extensive compliance checks on the live deliveries to help identify & solve potential risks
6. Ensuring the upkeep and maintenance of client assets to ensure continuity of business","
                    English Proficiency (Spoken)
                    English Proficiency (Written)
                    MS-Excel
            ",https://internshala.com/job/detail/business-operations-analyst-fresher-jobs-in-mumbai-at-medianet1704188481
Content Writer,"
                        ClearTax                    ","
                                Starts Immediately
                            ","
                                    ₹ 5,00,000 - 7,00,000                                ",1-5 years,"
    Key responsibilities: 

1. Create financial content (articles) on the stock market and mutual funds niche.
2. You should make complex concepts easy to understand in the financial space.
3. Create original content and enhance existing content while incorporating SEO best practices.
4. Brainstorm, research, and contribute ideas for content that is of interest to the target audience.","
                    Content Writing
                    Creative Writing
                    English Proficiency (Written)
            ",https://internshala.com/job/detail/content-writer-job-in-bangalore-at-cleartax1706097578
